-127	149
-138	123
-248	-69
40	-19
-115	273
-203	138
356	-355
-23	-220
36	-321
-15	-172
141	-146
43	-85
-268	-142
349	264
-351	-325
104	195
16	-313
160	183
-107	-304
-283	289
251	50
254	-272
226	-40
-294	-149
338	-213
321	344
-177	335
280	-157
44	217
25	-20
-63	-209
-132	274
356	-194
198	-33
231	-60
-125	-68
317	54
-236	60
-120	64
12	-242
175	319
-42	-39
-15	-18
-310	-237
-83	-15
-255	140
-322	-72
-138	156
158	77
-87	-177
-254	-249
117	-75
-272	239
-123	256
-239	-302
-57	-290
297	-110
-196	-164
230	112
-343	335
-194	-197
-6	90
68	94
-28	21
-342	187
87	-257
-167	-194
268	105
90	349
273	-223
140	-146
271	-329
-240	354
140	208
208	-331
-237	-49
-243	-91
277	-320
36	-120
146	329
349	198
-219	143
98	151
203	86
321	81
289	47
242	174
-128	-316
30	180
-353	-115
45	-15
222	341
69	88
82	-64
126	-261
207	-111
262	-343
176	236
194	308
290	-284
-12	-347
116	16
-159	-173
-52	270
-189	324
-164	186
170	281
260	330
-53	108
305	243
-9	-173
-86	-342
82	-44
-101	-76
-331	-151
-40	-344
-105	-291
164	211
-213	234
-206	-157
216	-244
-274	-255
-66	176
-46	73
7	272
154	176
-145	237
-236	-319
-322	230
166	322
126	-106
76	-49
-66	29
289	164
343	-96
29	-60
301	-276
247	8
107	-275
50	-174
-34	-301
8	-337
-360	-303
-80	31
42	-240
-160	-253
275	35
-247	-73
207	-300
-295	-201
-204	-350
-241	-54
-64	-156
-287	47
-73	-93
-49	-54
-104	-349
-37	16
-83	46
358	-18
-327	299
-59	-142
-264	-106
9	307
-197	-174
349	-74
247	-277
-283	-66
-118	318
320	292
-273	8
-141	-343
264	302
185	-157
-333	61
101	240
-338	114
279	247
-225	-233
-264	-335
58	-120
284	206
-343	352
-44	146
24	-1
158	139
-66	265
-64	-166
234	147
-128	-203
-51	59
-102	-164
263	-4
-147	120
-222	-353
345	-220
-213	-266
-45	193
126	348
-226	140
-17	-280
95	108
152	-200
44	-334
180	353
358	285
52	347
-150	-339
199	135
-43	-229
-117	-221
21	332
189	-150
40	278
-17	109
122	-32
108	140
248	-340
311	150
185	82
108	303
25	107
51	222
192	116
35	-324
-238	223
86	-45
-114	99
46	41
-192	308
-289	180
216	-202
90	252
-125	291
40	286
-27	-60
-311	148
47	-242
1	-32
-12	-36
60	-160
232	20
-146	-97
-97	356
113	292
-300	332
67	191
-192	-167
-6	-39
-281	262
-41	86
195	326
194	256
59	139
-189	-149
259	-174
-155	-174
294	173
179	262
260	42
181	82
127	-58
-141	256
-62	231
354	-95
324	247
-9	115
-110	134
35	-332
-251	275
-13	284
193	-97
115	-229
-214	-122
302	-271
-217	258
223	220
-34	256
175	217
-286	289
129	203
-210	-277
345	-51
301	-51
90	207
311	-48
139	224
244	151
302	244
281	271
-153	-54
-271	-127
-66	197
-5	297
-42	-308
321	190
-92	-185
-96	-330
175	-258
213	21
-173	-214
-281	247
-172	-57
44	-289
136	-114
-281	4
-236	-199
-38	-156
209	183
-254	298
-210	164
66	230
316	-103
354	157
-70	255
-72	193
328	311
-352	-269
314	-17
325	300
101	102
-20	196
-225	166
56	268
-2	8
-83	-40
-329	-115
102	205
-109	239
60	-216
102	-250
153	-187
-150	-216
325	236
169	-13
35	139
31	-258
-11	-181
-283	81
282	-105
-89	-89
115	330
-40	280
153	-183
-187	266
-340	-26
-300	-72
-30	-43
-223	-85
346	-316
132	197
-196	281
-236	239
-239	107
-157	-83
-79	-47
-78	357
-155	168
-224	278
-270	-156
-21	-200
226	-55
154	320
286	151
-208	198
80	346
17	-33
-70	7
196	-153
239	121
-354	225
317	30
-106	315
158	-302
-314	-152
18	62
-342	-295
4	-210
287	-140
309	-17
-321	153
-241	263
65	-32
-310	318
13	41
-219	-313
39	-45
-68	33
20	196
-325	38
-229	-13
-191	-166
-233	99
55	46
-257	-140
59	-137
161	294
-234	130
-101	-154
-210	-225
210	235
282	196
354	-286
223	-131
273	214
-198	326
-152	-30
350	162
-196	-246
13	253
-10	-153
-131	-200
-159	270
-326	-278
104	-125
187	-141
303	-82
-92	90
33	179
-145	51
173	-260
-208	-275
277	-16
25	-185
16	-84
-358	314
228	-232
273	237
326	131
318	-73
-303	170
-324	-177
-188	79
-33	-37
124	-352
-326	143
168	7
50	-163
-10	-134
245	164
324	23
109	122
349	-5
173	-4
257	166
150	176
301	-187
-116	-312
-231	-255
333	144
-271	242
24	115
-287	267
-270	-216
-217	-311
34	-44
325	334
150	-191
155	343
-315	122
-228	147
169	152
-79	-174
-74	268
149	-62
258	-179
259	-308
186	194
-106	291
-203	-114
200	-48
207	267
-315	-357
284	12
209	-252
-311	-102
-205	-308
-96	-54
35	179
267	-170
-255	305
348	92
-4	-5
357	-325
-9	-276
-163	-38
-305	175
-21	143
-33	-101
321	358
90	324
-39	252
218	107
10	-17
137	-158
-232	-108
-209	145
-331	59
-77	-284
193	-14
