93.36	5.79	76.90	60.22
98.07	34.11	79.90	78.37
0.34	68.45	6.23	88.90
13.52	41.07	68.79	8.80
1.89	45.98	56.97	94.34
78.75	47.53	28.89	67.74
52.84	15.28	10.69	29.70
93.61	47.86	73.08	88.06
60.97	94.39	76.80	38.00
8.39	92.74	78.59	55.47
58.65	98.95	4.87	68.64
23.99	85.19	9.81	37.14
90.75	91.43	66.00	61.28
19.26	83.81	57.78	38.26
77.73	53.39	72.79	59.49
15.08	70.39	71.83	57.34
31.33	49.93	95.13	24.48
77.75	0.50	48.57	91.49
2.18	78.02	28.87	48.89
24.62	13.03	94.11	3.23
90.21	16.39	59.71	92.80
13.55	36.67	69.86	68.56
61.27	11.36	65.80	52.75
9.64	41.03	9.45	11.68
93.38	35.89	35.12	73.11
12.40	42.99	63.83	50.54
60.26	89.03	94.95	86.32
69.76	36.37	57.34	43.03
45.80	92.42	26.01	57.20
28.86	12.20	8.34	7.30
42.97	18.50	27.83	70.28
86.46	21.09	4.75	84.95
77.58	2.09	47.44	93.61
84.89	99.48	39.61	68.34
35.43	27.33	35.28	26.15
34.67	24.73	45.91	75.85
11.39	98.57	0.20	56.96
66.90	56.31	17.42	76.32
82.79	7.10	82.26	55.93
43.74	2.87	0.50	95.16
87.32	81.15	18.87	19.43
96.27	48.74	36.84	22.04
64.53	63.48	82.12	2.52
1.15	7.52	50.79	15.32
67.14	85.62	18.23	49.40
34.20	8.90	5.53	39.76
48.45	62.61	99.95	46.68
40.18	79.95	82.06	33.46
10.45	82.09	52.99	44.96
2.28	78.47	56.85	32.21
80.94	79.60	43.77	73.92
23.00	6.47	44.40	12.75
0.34	90.08	4.30	70.93
72.47	89.68	89.68	27.64
7.54	86.69	20.37	96.70
27.90	93.50	22.10	94.53
2.72	97.83	3.43	69.69
82.51	64.51	69.29	36.89
59.58	64.03	52.38	77.66
26.91	50.49	59.00	65.61
24.25	58.40	10.98	97.38
45.45	9.57	9.59	25.48
19.62	94.96	5.09	99.16
